class	Precursor_MZ
Peptidomimetics	981.54
Peptidomimetics	940.25
Indoles and derivatives	545.0
Peptidomimetics	667.115
Macrolactams	1025.61
Peptidomimetics	665.115
Macrolactams	1065.6
Peptidomimetics	687.0
Peptidomimetics	730.418
Peptidomimetics	752.399
Carboxylic acids and derivatives	860.584
Carboxylic acids and derivatives	866.633
Carboxylic acids and derivatives	888.615
Carboxylic acids and derivatives	513.308
Benzene and substituted derivatives	461.0
Carboxylic acids and derivatives	535.29
Carboxylic acids and derivatives	532.0
Peptidomimetics	672.1
Carboxylic acids and derivatives	515.322
Organooxygen compounds	608.0
Carboxylic acids and derivatives	537.304
Carboxylic acids and derivatives	850.636
Diazines	348.155
Peptidomimetics	840.0
Peptidomimetics	1062.61
Peptidomimetics	862.0
Peptidomimetics	1084.59
Peptidomimetics	826.0
Peptidomimetics	610.416
Peptidomimetics	632.398
Peptidomimetics	848.0
Fatty Acyls	323.258
Fatty Acyls	345.24
Peptidomimetics	727.32
Peptidomimetics	749.288
Oxanes	410.282
Oxanes	432.264
Oxanes	410.282
Prenol lipids	396.274
Peptidomimetics	739.21
Prenol lipids	418.256
Organooxygen compounds	445.113
Organooxygen compounds	467.095
Peptidomimetics	665.115
Indoles and derivatives	467.208
Quinolines and derivatives	311.115
Peptidomimetics	754.34
Quinolines and derivatives	333.097
Peptidomimetics	712.31
Naphthacenes	809.312
Carboxylic acids and derivatives	500.0
Peptidomimetics	672.437
Carboxylic acids and derivatives	516.031
Peptidomimetics	694.42
Peptidomimetics	761.4
Macrolides and analogues	827.492
Peptidomimetics	763.37
Prenol lipids	412.272
Prenol lipids	434.254
Peptidomimetics	818.22
Carboxylic acids and derivatives	501.0
Fatty Acyls	367.0
Imidothioesters	360.0
Isoquinolines and derivatives	234.2
Carboxylic acids and derivatives	326.1
Carboxylic acids and derivatives	825.3
Carboxylic acids and derivatives	825.5
Carboxylic acids and derivatives	847.3
Fatty Acyls	490.9
Fatty Acyls	513.2
Organooxygen compounds	608.0
Organooxygen compounds	630.3
Peptidomimetics	828.3
Peptidomimetics	850.4
Peptidomimetics	814.2
Peptidomimetics	836.4
Carboxylic acids and derivatives	771.3
Carboxylic acids and derivatives	793.4
Peptidomimetics	593.2
Quinolines and derivatives	260.0
Carboxylic acids and derivatives	325.0
Oxanes	378.16
Oxanes	347.15
Furopyrans	349.17
Oxanes	349.17
Furopyrans	379.18
Peptidomimetics	628.33
Peptidomimetics	1255.62
Carboxylic acids and derivatives	515.92
Carboxylic acids and derivatives	531.99
Benzopyrans	251.09
Benzopyrans	273.07
Peptidomimetics	1030.71
Indoles and derivatives	467.21
Peptidomimetics	1111.63
Peptidomimetics	1149.6
Peptidomimetics	1134.64
Carboxylic acids and derivatives	258.124
Carboxylic acids and derivatives	258.124
Carboxylic acids and derivatives	258.124
Carboxylic acids and derivatives	258.124
Carboxylic acids and derivatives	258.124
Azolidines	248.129
Azolidines	248.129
Azolidines	276.16
Azolidines	276.16
Azolidines	348.217
Azolidines	348.217
Azolidines	376.249
Azolidines	376.249
Peptidomimetics	926.458
Macrolides and analogues	833.497
Macrolides and analogues	855.482
Fatty Acyls	367.246
Carboxylic acids and derivatives	771.393
Carboxylic acids and derivatives	793.376
Peptidomimetics	940.472
Peptidomimetics	962.454
Peptidomimetics	672.39
Peptidomimetics	694.374
Indoles and derivatives	545.154
Carboxylic acids and derivatives	516.322
Carboxylic acids and derivatives	538.304
Prenol lipids	419.288
Peptidomimetics	828.5
Peptidomimetics	850.482
Peptidomimetics	814.484
Peptidomimetics	836.467
Carboxylic acids and derivatives	500.329
Carboxylic acids and derivatives	522.312
Carboxylic acids and derivatives	516.323
Carboxylic acids and derivatives	538.306
Carboxylic acids and derivatives	272.23
Carboxylic acids and derivatives	294.214
Carboxylic acids and derivatives	437.276
Glycerophospholipids	650.48
Glycerophospholipids	664.5
Glycerophospholipids	678.51
Carboxylic acids and derivatives	535.19
Carboxylic acids and derivatives	533.21
